"CASE_ID"	"close_dt"	"start_dt"	"duration"
"305"	49188	2016-06-01	2008-06-01	2922
"306"	49410	2017-04-01	2016-01-01	456
"307"	49447	2017-01-01	2009-05-01	2802
"308"	49456	2017-04-01	2009-02-01	2981
"309"	49551	2017-04-01	2009-04-01	2922
"310"	49562	2017-04-01	2010-12-01	2313
"311"	49568	2017-04-01	2009-05-01	2892
"312"	49584	2016-11-01	2009-05-01	2741
"313"	49634	2017-04-01	2009-06-01	2861
"314"	49662	2016-03-01	2009-07-01	2435
"315"	49678	2017-04-01	2009-07-01	2831
"316"	49680	2017-04-01	2016-04-01	365
"317"	49689	2016-12-01	2009-07-01	2710
"318"	49740	2017-01-01	2015-10-01	458
"319"	49870	2016-06-01	2010-10-01	2070
"320"	49946	2016-02-01	2016-01-01	31
"321"	50096	2016-04-01	2010-07-01	2101
"322"	50199	2017-04-01	2010-10-01	2374
"323"	50263	2017-01-01	2010-12-01	2223
"324"	50545	2017-01-01	2012-06-01	1675
"325"	50644	2017-04-01	2009-09-01	2769
"326"	50647	2017-01-01	2006-07-01	3837
"327"	50662	2017-04-01	2006-09-01	3865
"328"	50805	2017-04-01	2011-04-01	2192
"329"	50813	2016-10-01	2011-04-01	2010
"330"	50815	2017-04-01	2011-04-01	2192
"331"	50867	2017-04-01	2012-06-01	1765
"332"	50874	2017-04-01	2011-04-01	2192
"333"	50942	2017-01-01	2011-05-01	2072
"334"	50985	2016-06-01	2009-11-01	2404
"335"	51053	2017-04-01	2011-05-01	2162
"336"	51085	2017-04-01	2016-10-01	182
"337"	51098	2016-10-01	2011-06-01	1949
"338"	51129	2016-06-01	2011-06-01	1827
"339"	51132	2017-04-01	2011-06-01	2131
"340"	51178	2017-04-01	2011-06-01	2131
"341"	51184	2017-04-01	2011-06-01	2131
"342"	51196	2017-04-01	2011-06-01	2131
"343"	51306	2017-04-01	2011-07-01	2101
"344"	51334	2016-06-01	2016-04-01	61
"345"	51337	2016-11-01	2011-07-01	1950
"346"	51343	2016-04-01	2016-02-01	60
"347"	51388	2017-04-01	2011-07-01	2101
"348"	51404	2016-03-01	2011-07-01	1705
"349"	51416	2016-09-01	2011-07-01	1889
"350"	51473	2017-04-01	2011-08-01	2070
"351"	51485	2016-08-01	2016-02-01	182
"352"	51645	2017-04-01	2011-08-01	2070
"353"	51650	2016-07-01	2011-08-01	1796
"354"	51689	2016-09-01	2011-08-01	1858
"355"	51692	2016-10-01	2011-08-01	1888
"356"	51693	2016-12-01	2011-08-01	1949
"357"	51696	2017-01-01	2011-08-01	1980
"358"	51908	2017-04-01	2011-09-01	2039
"359"	51910	2017-04-01	2011-09-01	2039
"360"	51922	2016-02-01	2011-09-01	1614
"361"	51950	2017-04-01	2016-12-01	121
"362"	52005	2017-04-01	2011-09-01	2039
"363"	52058	2017-04-01	2011-09-01	2039
"364"	52085	2017-04-01	2016-07-01	274
"365"	52145	2017-04-01	2011-10-01	2009
"366"	52184	2016-06-01	2011-10-01	1705
"367"	52204	2017-04-01	2016-09-01	212
"368"	52223	2016-08-01	2011-10-01	1766
"369"	52239	2017-04-01	2016-09-01	212
"370"	52276	2016-03-01	2011-11-01	1582
"371"	52283	2016-10-01	2011-11-01	1796
"372"	52302	2016-09-01	2016-03-01	184
"373"	52338	2017-04-01	2011-11-01	1978
"374"	52343	2016-11-01	2011-11-01	1827
"375"	52359	2017-04-01	2016-10-01	182
"376"	52372	2017-04-01	2011-11-01	1978
"377"	52375	2017-04-01	2011-11-01	1978
"378"	52396	2016-05-01	2016-03-01	61
"379"	52405	2017-04-01	2015-12-01	487
"380"	52485	2016-12-01	2011-12-01	1827
"381"	52546	2016-03-01	2011-12-01	1552
"382"	52552	2016-12-01	2011-12-01	1827
"383"	52761	2016-03-01	2012-02-01	1490
"384"	52926	2017-04-01	2012-02-01	1886
"385"	52937	2016-08-01	2012-02-01	1643
"386"	52947	2016-06-01	2015-07-01	336
"387"	52964	2017-04-01	2012-03-01	1857
"388"	52971	2016-12-01	2012-03-01	1736
"389"	52976	2016-04-01	2011-11-01	1613
"390"	53000	2017-04-01	2012-03-01	1857
"391"	53005	2016-07-01	2012-03-01	1583
"392"	53054	2017-04-01	2012-03-01	1857
"393"	53115	2016-12-01	2012-03-01	1736
"394"	53194	2016-03-01	2012-04-01	1430
"395"	53200	2017-04-01	2012-04-01	1826
"396"	53205	2017-04-01	2012-04-01	1826
"397"	53215	2016-08-01	2012-04-01	1583
"398"	53264	2017-04-01	2012-04-01	1826
"399"	53266	2017-04-01	2012-04-01	1826
"400"	53282	2017-04-01	2012-04-01	1826
"401"	53305	2017-04-01	2012-04-01	1826
"402"	53410	2017-01-01	2012-05-01	1706
"403"	53426	2017-04-01	2012-05-01	1796
"404"	53432	2017-04-01	2012-05-01	1796
"405"	53446	2017-04-01	2012-05-01	1796
"406"	53534	2016-04-01	2012-05-01	1431
"407"	53561	2017-04-01	2012-05-01	1796
"408"	53573	2017-01-01	2012-06-01	1675
"409"	53575	2017-04-01	2012-06-01	1765
"410"	53603	2016-01-01	2012-06-01	1309
"411"	53659	2017-04-01	2012-06-01	1765
"412"	53673	2017-04-01	2012-06-01	1765
"413"	53679	2017-04-01	2016-05-01	335
"414"	53688	2017-04-01	2016-10-01	182
"415"	53742	2017-04-01	2012-06-01	1765
"416"	53793	2017-01-01	2016-04-01	275
"417"	53838	2017-04-01	2012-07-01	1735
"418"	53929	2016-05-01	2012-07-01	1400
"419"	53948	2016-09-01	2012-07-01	1523
"420"	54075	2017-01-01	2014-08-01	884
"421"	54083	2017-04-01	2016-02-01	425
"422"	54120	2017-04-01	2016-07-01	274
"423"	54125	2016-06-01	2012-08-01	1400
"424"	54158	2017-01-01	2012-08-01	1614
"425"	54179	2017-04-01	2012-08-01	1704
"426"	54207	2017-04-01	2013-10-01	1278
"427"	54231	2017-04-01	2013-03-01	1492
"428"	54237	2016-07-01	2012-09-01	1399
"429"	54256	2017-01-01	2012-09-01	1583
"430"	54269	2016-07-01	2016-04-01	91
"431"	54285	2017-04-01	2016-09-01	212
"432"	54390	2016-09-01	2016-07-01	62
"433"	54394	2016-11-01	2012-12-01	1431
"434"	54427	2017-04-01	2012-10-01	1643
"435"	54505	2017-04-01	2012-10-01	1643
"436"	54538	2017-04-01	2013-09-01	1308
"437"	54586	2016-10-01	2014-02-01	973
"438"	54600	2017-04-01	2012-10-01	1643
"439"	54642	2016-12-01	2012-11-01	1491
"440"	54680	2017-04-01	2011-05-01	2162
"441"	54686	2017-04-01	2012-11-01	1612
"442"	54748	2016-05-01	2012-11-01	1277
"443"	54758	2016-12-01	2016-09-01	91
"444"	54781	2017-04-01	2012-11-01	1612
"445"	54788	2016-05-01	2012-12-01	1247
"446"	54814	2017-04-01	2012-12-01	1582
"447"	54856	2016-10-01	2016-10-01	0
"448"	54859	2017-04-01	2012-12-01	1582
"449"	54874	2017-04-01	2012-12-01	1582
"450"	54935	2017-04-01	2013-01-01	1551
"451"	54949	2016-11-01	2013-01-01	1400
"452"	54950	2017-04-01	2013-01-01	1551
"453"	54954	2016-04-01	2013-01-01	1186
"454"	54968	2017-04-01	2013-01-01	1551
"455"	55040	2016-08-01	2016-10-01	-61
"456"	55059	2017-04-01	2013-01-01	1551
"457"	55101	2016-06-01	2013-01-01	1247
"458"	55112	2017-04-01	2016-10-01	182
"459"	55133	2017-04-01	2016-12-01	121
"460"	55136	2016-08-01	2012-12-01	1339
"461"	55175	2017-04-01	2013-01-01	1551
"462"	55198	2016-03-01	2016-01-01	60
"463"	55219	2017-04-01	2012-11-01	1612
"464"	55236	2016-06-01	2013-02-01	1216
"465"	55245	2017-04-01	2013-02-01	1520
"466"	55273	2017-04-01	2013-02-01	1520
"467"	55335	2017-04-01	2016-05-01	335
"468"	55383	2017-04-01	2013-03-01	1492
"469"	55392	2017-04-01	2013-03-01	1492
"470"	55504	2016-06-01	2013-03-01	1188
