CASE_ID,ACHA,AIU_CHILD,AIU_PARENT,CYF_KPL,CYF_PL_O,DA,DPW_FS,DPW_GA,DPW_SSI,DPW_TANF,EI,FSC,HACP,HH,IL_CHILD,JPO,JPO_CHILD,JPO_KPL,JPO_PL_O,MH,ID,nClose,Duration,place_Y
31524,0,0,0,1,-1,1,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,3,62,T
31540,-1,0,0,0,-1,0,-1,0,-1,-1,-1,-1,1,-1,0,-1,0,0,0,-1,-1,4,30,F
31600,1,-1,-1,0,0,1,1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,5,276,F
31610,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,-1,0,6,123,F
31652,1,-1,0,0,-1,-1,-1,-1,0,1,0,-1,0,1,-1,-1,0,0,-1,-1,0,3,276,F
31659,-1,1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,2,31,F
31661,1,-1,0,1,-1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,2,153,T
31683,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,0,3,153,F
31707,0,0,0,0,0,0,-1,0,1,0,0,-1,0,-1,0,0,0,0,0,1,0,3,60,F
31712,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,5,92,F
31718,-1,-1,0,0,-1,-1,-1,0,1,-1,-1,-1,1,-1,0,-1,0,0,0,-1,0,5,153,F
31734,1,0,0,-1,0,-1,-1,-1,0,-1,-1,1,0,-1,0,-1,0,0,-1,-1,0,5,153,F
31772,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,2,366,F
31779,1,0,0,0,-1,-1,-1,0,0,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,0,2,397,F
31782,-1,0,0,1,-1,-1,1,0,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,3,62,T
31795,0,0,0,0,-1,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,2,31,F
31796,-1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,5,62,F
31812,-1,0,0,0,-1,1,-1,0,0,1,0,-1,0,0,1,-1,0,0,0,1,0,3,276,F
31826,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,4,397,F
31835,-1,0,0,0,-1,1,-1,-1,-1,-1,0,1,1,-1,0,-1,0,0,0,1,0,3,245,F
31837,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,0,-1,0,0,0,0,0,1,0,4,61,F
31853,0,0,0,1,-1,1,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,2,306,T
31856,0,0,0,0,-1,0,-1,0,-1,1,-1,-1,0,0,0,0,0,0,0,-1,0,2,306,F
31869,0,0,0,0,-1,-1,1,0,-1,1,0,1,1,1,0,0,0,0,0,1,-1,3,183,F
31884,-1,0,0,1,-1,-1,1,-1,-1,1,-1,0,1,1,0,-1,0,0,-1,1,0,3,215,T
31942,1,0,0,0,-1,-1,1,0,-1,1,0,-1,0,-1,0,0,0,0,0,1,-1,3,122,F
31962,0,0,0,1,-1,1,-1,0,-1,-1,-1,0,0,1,0,0,0,0,0,1,0,4,245,T
31978,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,2,306,F
31991,-1,0,0,0,0,-1,-1,0,-1,-1,1,-1,0,1,0,0,0,0,0,-1,0,4,184,F
31999,-1,0,0,0,-1,-1,-1,0,1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,2,274,F
32007,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,4,184,F
32048,1,-1,-1,0,0,-1,-1,0,-1,1,-1,1,0,-1,0,0,0,0,0,-1,-1,2,92,F
32055,0,0,0,0,0,-1,1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,2,92,F
32078,1,1,0,0,-1,-1,1,-1,0,1,-1,1,1,-1,0,-1,0,0,0,-1,0,3,0,F
32086,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,1,-1,0,0,-1,1,0,4,215,F
32091,0,0,0,-1,1,-1,-1,0,-1,-1,0,-1,0,1,0,-1,0,0,-1,-1,0,3,123,F
32095,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,3,153,F
32124,0,0,0,0,-1,-1,-1,-1,0,1,-1,0,0,-1,0,0,0,0,0,1,0,2,306,F
32169,-1,0,0,0,0,-1,1,0,1,0,0,-1,0,-1,0,0,0,0,0,-1,0,3,92,F
32209,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,92,F
32274,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,2,92,F
32301,0,0,0,1,0,1,1,-1,0,1,1,0,0,1,0,-1,0,0,0,1,0,2,245,T
32324,-1,-1,-1,0,-1,0,-1,0,1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,5,62,F
32334,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,0,0,0,-1,0,5,245,F
32397,0,-1,0,1,-1,-1,-1,0,-1,-1,1,0,0,-1,0,-1,0,0,-1,-1,0,2,366,T
32418,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,3,90,F
32428,0,0,0,0,0,-1,-1,0,1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,2,123,F
32478,-1,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,2,276,T
32542,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,1,0,-1,-1,0,5,214,F
32604,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,1,1,-1,0,-1,0,2,215,F
32613,-1,0,0,1,-1,-1,1,0,-1,1,-1,0,0,-1,-1,1,1,-1,0,-1,0,3,337,T
32615,0,0,0,0,1,-1,-1,-1,1,1,-1,1,0,1,0,0,0,0,0,-1,0,4,60,F
32659,-1,0,0,-1,-1,1,1,0,1,-1,-1,-1,1,-1,0,0,0,0,0,1,0,4,276,F
32668,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,5,91,F
32680,0,0,0,0,-1,-1,-1,-1,1,1,-1,0,0,-1,0,-1,0,0,0,-1,0,4,92,F
32716,1,0,0,0,1,1,-1,0,1,-1,-1,-1,0,-1,0,0,0,0,0,1,0,3,122,F
32731,0,0,0,-1,-1,1,1,0,1,1,-1,-1,-1,-1,0,0,1,0,0,-1,-1,4,122,F
32754,0,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,3,92,F
32790,0,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,3,62,F
32801,0,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,3,62,F
32809,-1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,2,214,F
32839,0,-1,0,0,-1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,3,61,F
32902,-1,0,0,0,1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,6,92,F
32945,1,-1,-1,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,0,4,123,F
32961,0,0,-1,0,-1,-1,1,0,-1,1,-1,-1,1,-1,0,0,0,0,0,-1,0,2,0,F
32980,0,-1,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,2,62,F
32993,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,2,397,T
33098,0,0,0,0,-1,-1,-1,0,-1,1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,2,276,F
33101,0,0,0,1,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,-1,0,2,276,T
33102,0,-1,-1,0,1,-1,1,0,1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,3,123,F
33135,0,-1,-1,1,-1,-1,1,0,-1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,6,366,T
33138,0,0,-1,0,0,-1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,2,184,F
33139,1,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,-1,-1,-1,0,4,62,F
33170,0,0,0,0,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,3,61,F
33197,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,304,F
33255,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,2,153,F
33268,-1,-1,0,1,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,2,245,T
33274,0,0,0,1,0,-1,1,0,0,-1,0,0,0,-1,1,0,0,0,0,1,0,2,276,T
33289,0,0,0,0,0,-1,1,0,1,-1,0,-1,1,-1,0,0,0,0,0,-1,0,3,0,F
33301,-1,0,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,3,123,F
33339,0,0,0,0,1,-1,-1,0,1,-1,-1,-1,1,0,0,-1,1,1,0,-1,0,3,123,F
33342,-1,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,2,62,F
33349,0,0,0,0,-1,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,1,0,4,276,F
33366,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,2,306,T
