"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration","duration2"
31707,FALSE,TRUE,TRUE,TRUE,FALSE,3,60,60
31712,TRUE,TRUE,TRUE,FALSE,FALSE,5,92,92
31718,TRUE,TRUE,TRUE,TRUE,FALSE,5,153,NA
31734,TRUE,TRUE,TRUE,FALSE,FALSE,5,153,NA
31772,TRUE,TRUE,TRUE,TRUE,TRUE,2,366,NA
31779,TRUE,TRUE,TRUE,FALSE,FALSE,2,397,NA
31782,TRUE,TRUE,TRUE,FALSE,TRUE,3,62,NA
31795,TRUE,FALSE,FALSE,FALSE,FALSE,2,31,31
31796,FALSE,TRUE,TRUE,TRUE,FALSE,5,62,NA
31812,TRUE,TRUE,TRUE,TRUE,FALSE,3,276,NA
31826,TRUE,TRUE,TRUE,FALSE,TRUE,4,397,NA
31835,TRUE,TRUE,TRUE,FALSE,FALSE,3,245,NA
31837,TRUE,TRUE,TRUE,TRUE,FALSE,4,61,61
31853,TRUE,FALSE,TRUE,FALSE,TRUE,2,306,NA
31856,TRUE,FALSE,TRUE,TRUE,FALSE,2,306,NA
31869,TRUE,FALSE,TRUE,FALSE,FALSE,3,183,183
31884,TRUE,TRUE,TRUE,FALSE,TRUE,3,215,NA
31942,TRUE,TRUE,TRUE,TRUE,FALSE,3,122,122
31962,TRUE,FALSE,TRUE,FALSE,TRUE,4,245,NA
31978,FALSE,FALSE,TRUE,FALSE,FALSE,2,306,NA
31991,FALSE,TRUE,TRUE,TRUE,FALSE,4,184,NA
31999,TRUE,TRUE,TRUE,TRUE,FALSE,2,274,274
32007,TRUE,TRUE,TRUE,TRUE,FALSE,4,184,NA
32048,FALSE,TRUE,TRUE,FALSE,FALSE,2,92,NA
32055,FALSE,TRUE,TRUE,FALSE,FALSE,2,92,92
32078,TRUE,TRUE,TRUE,FALSE,FALSE,3,0,0
32086,TRUE,TRUE,TRUE,TRUE,TRUE,4,215,NA
32091,TRUE,FALSE,TRUE,TRUE,TRUE,3,123,NA
32095,TRUE,TRUE,TRUE,TRUE,TRUE,3,153,153
32124,TRUE,TRUE,TRUE,FALSE,FALSE,2,306,NA
32169,FALSE,TRUE,FALSE,TRUE,FALSE,3,92,NA
32209,FALSE,FALSE,FALSE,FALSE,FALSE,2,92,NA
32274,TRUE,TRUE,TRUE,TRUE,FALSE,2,92,92
32301,FALSE,FALSE,TRUE,FALSE,TRUE,2,245,NA
32324,TRUE,TRUE,TRUE,TRUE,FALSE,5,62,NA
32334,TRUE,FALSE,TRUE,TRUE,FALSE,5,245,NA
32397,TRUE,TRUE,TRUE,FALSE,TRUE,2,366,NA
32418,FALSE,TRUE,TRUE,FALSE,FALSE,3,90,90
32428,FALSE,TRUE,TRUE,TRUE,FALSE,2,123,NA
32478,FALSE,TRUE,TRUE,FALSE,TRUE,2,276,NA
32542,TRUE,TRUE,TRUE,FALSE,TRUE,5,214,214
32604,TRUE,FALSE,TRUE,FALSE,FALSE,2,215,NA
32613,TRUE,TRUE,TRUE,FALSE,TRUE,3,337,NA
32615,FALSE,FALSE,TRUE,FALSE,TRUE,4,60,60
32659,TRUE,TRUE,TRUE,TRUE,FALSE,4,276,NA
32668,FALSE,FALSE,FALSE,FALSE,FALSE,5,91,91
32680,TRUE,TRUE,TRUE,FALSE,FALSE,4,92,92
32716,FALSE,TRUE,TRUE,TRUE,TRUE,3,122,122
32731,TRUE,TRUE,FALSE,TRUE,FALSE,4,122,122
32754,FALSE,FALSE,TRUE,FALSE,FALSE,3,92,NA
32790,TRUE,TRUE,TRUE,FALSE,FALSE,3,62,NA
32801,FALSE,FALSE,TRUE,FALSE,TRUE,3,62,NA
32809,FALSE,TRUE,TRUE,TRUE,FALSE,2,214,214
32839,TRUE,FALSE,TRUE,FALSE,FALSE,3,61,61
32902,FALSE,TRUE,TRUE,FALSE,TRUE,6,92,NA
32945,FALSE,FALSE,FALSE,TRUE,FALSE,4,123,NA
32961,TRUE,TRUE,TRUE,TRUE,FALSE,2,0,0
32980,FALSE,FALSE,TRUE,FALSE,FALSE,2,62,62
32993,TRUE,FALSE,FALSE,FALSE,TRUE,2,397,NA
33098,TRUE,FALSE,TRUE,TRUE,FALSE,2,276,NA
33101,FALSE,TRUE,TRUE,FALSE,TRUE,2,276,NA
33102,FALSE,TRUE,TRUE,FALSE,TRUE,3,123,123
33135,TRUE,FALSE,TRUE,TRUE,TRUE,6,366,NA
33138,FALSE,TRUE,TRUE,TRUE,FALSE,2,184,NA
33139,TRUE,TRUE,TRUE,TRUE,TRUE,4,62,NA
33170,FALSE,FALSE,TRUE,FALSE,FALSE,3,61,61
33197,FALSE,FALSE,FALSE,FALSE,FALSE,2,304,304
33255,TRUE,FALSE,TRUE,FALSE,FALSE,2,153,NA
33268,FALSE,TRUE,TRUE,TRUE,TRUE,2,245,NA
33274,FALSE,TRUE,TRUE,FALSE,TRUE,2,276,NA
33289,FALSE,TRUE,TRUE,TRUE,FALSE,3,0,0
33301,TRUE,TRUE,TRUE,TRUE,FALSE,3,123,NA
33339,FALSE,FALSE,TRUE,TRUE,TRUE,3,123,NA
33342,FALSE,TRUE,TRUE,TRUE,TRUE,2,62,NA
33349,TRUE,FALSE,TRUE,TRUE,FALSE,4,276,NA
33366,TRUE,FALSE,TRUE,FALSE,TRUE,2,306,NA
33405,FALSE,TRUE,TRUE,FALSE,FALSE,2,123,NA
33410,FALSE,FALSE,TRUE,FALSE,TRUE,5,123,NA
