"","CASE_ID","close_dt","start_dt","duration","X","nClients","nMH","nClose","ratio","CASE_ID.1","MHt"
"674",60383,2017-04-01,2015-10-01,548,674,5,2,2,0.4,60383,-1
"675",60400,2016-08-01,2015-10-01,305,675,5,0,2,0,60400,NA
"676",60410,2017-04-01,2016-11-01,151,676,11,3,2,0.27,60410,-1
"677",60414,2016-11-01,2015-10-01,397,677,6,2,2,0.33,60414,-1
"678",60416,2017-04-01,2015-10-01,548,678,3,0,2,0,60416,NA
"679",60441,2017-04-01,2015-11-01,517,679,3,1,2,0.33,60441,0
"680",60456,2017-04-01,2015-11-01,517,680,8,4,2,0.5,60456,-1
"681",60497,2017-04-01,2015-11-01,517,681,7,4,2,0.57,60497,0
"682",60516,2017-04-01,2015-11-01,517,682,7,5,2,0.71,60516,-1
"683",60533,2017-01-01,2015-11-01,427,683,3,2,2,0.67,60533,0
"684",60543,2017-01-01,2016-10-01,92,684,6,1,2,0.17,60543,0
"685",60549,2017-04-01,2015-12-01,487,685,5,2,2,0.4,60549,0
"686",60604,2017-04-01,2015-12-01,487,686,4,0,2,0,60604,NA
"687",60612,2017-04-01,2015-12-01,487,687,6,2,2,0.33,60612,-1
"688",60633,2017-04-01,2015-12-01,487,688,3,2,2,0.67,60633,0
"689",60639,2017-04-01,2016-02-01,425,689,12,5,2,0.42,60639,-1
"690",60643,2017-04-01,2015-12-01,487,690,2,0,2,0,60643,-1
"691",60671,2016-04-01,2015-12-01,122,691,4,0,2,0,60671,-1
"692",60680,2017-04-01,2015-12-01,487,692,7,4,2,0.57,60680,-1
"693",60694,2017-04-01,2015-11-01,517,693,4,3,1,0.75,60694,-1
"694",60697,2016-01-01,2016-01-01,0,694,5,1,1,0.2,60697,0
"695",60699,2016-02-01,2016-01-01,31,695,3,0,1,0,60699,NA
"696",60700,2017-04-01,2015-12-01,487,696,10,3,2,0.3,60700,-1
"697",60701,2016-03-01,2016-01-01,60,697,2,1,1,0.5,60701,0
"698",60706,2017-04-01,2016-01-01,456,698,5,2,2,0.4,60706,-1
"699",60707,2017-04-01,2016-01-01,456,699,3,0,1,0,60707,NA
"700",60710,2017-04-01,2016-01-01,456,700,7,2,1,0.29,60710,-1
"701",60713,2017-04-01,2016-01-01,456,701,4,3,1,0.75,60713,0
"702",60715,2016-01-01,2016-01-01,0,702,4,2,1,0.5,60715,-1
"703",60718,2016-05-01,2016-01-01,121,703,6,4,1,0.67,60718,-1
"704",60719,2016-01-01,2016-01-01,0,704,6,0,1,0,60719,NA
"705",60720,2016-05-01,2016-01-01,121,705,10,1,1,0.1,60720,0
"706",60723,2016-05-01,2016-01-01,121,706,4,2,1,0.5,60723,0
"707",60729,2016-05-01,2016-01-01,121,707,3,2,1,0.67,60729,0
"708",60730,2017-04-01,2016-01-01,456,708,4,1,1,0.25,60730,0
"709",60731,2016-11-01,2016-06-01,153,709,14,7,1,0.5,60731,-1
"710",60735,2016-01-01,2016-01-01,0,710,6,4,1,0.67,60735,-1
"711",60736,2016-08-01,2016-01-01,213,711,5,1,1,0.2,60736,-1
"712",60738,2016-09-01,2016-01-01,244,712,4,0,1,0,60738,NA
"713",60740,2016-08-01,2016-01-01,213,713,3,0,1,0,60740,NA
"714",60741,2016-07-01,2016-01-01,182,714,5,3,1,0.6,60741,-1
"715",60743,2017-04-01,2016-01-01,456,715,5,0,1,0,60743,NA
